benchmark_id,statistic,confidence_level,lower_bound_ns,point_estimate_ns,upper_bound_ns
open_type_registry_lookup/query_surface=registry_lookup/label_count=254/request=missing/encoding=adaptive_u8,median,0.95,8.94385795458087,8.994977273038087,9.016078415494444
open_type_registry_lookup/query_surface=registry_lookup/label_count=255/request=first/encoding=adaptive_u16,median,0.95,8.057213649408661,8.103810652363727,8.13130525575691
open_type_registry_lookup/query_surface=registry_lookup/label_count=255/request=last/encoding=adaptive_u16,median,0.95,8.27921633953179,8.307556649886237,8.37550267761525
open_type_registry_lookup/query_surface=registry_lookup/label_count=255/request=missing/encoding=adaptive_u16,median,0.95,8.92283336618559,8.950630650893483,8.992496177228016
open_type_registry_lookup/query_surface=registry_lookup/label_count=65534/request=first/encoding=adaptive_u16,median,0.95,8.179539355340328,8.217043488859819,8.240754961050124
open_type_registry_lookup/query_surface=registry_lookup/label_count=65534/request=last/encoding=adaptive_u16,median,0.95,9.296042915207071,9.32698564102883,9.342782077861841
open_type_registry_lookup/query_surface=registry_lookup/label_count=65534/request=missing/encoding=adaptive_u16,median,0.95,9.086484734596834,9.14088945787417,9.172457137836684
open_type_registry_lookup/query_surface=registry_lookup/label_count=65535/request=first/encoding=adaptive_u32,median,0.95,8.355856233316876,8.382115295529044,8.45812214407163
open_type_registry_lookup/query_surface=registry_lookup/label_count=65535/request=last/encoding=adaptive_u32,median,0.95,9.505251271224154,9.546998177999788,9.565645540743649
open_type_registry_lookup/query_surface=registry_lookup/label_count=65535/request=missing/encoding=adaptive_u32,median,0.95,8.974905652527525,9.050767883159839,9.079181591228705
open_type_registry_lookup/query_surface=registry_lookup/label_count=65536/request=first/encoding=adaptive_u32,median,0.95,8.192161949474968,8.236998895540633,8.259335835292841
open_type_registry_lookup/query_surface=registry_lookup/label_count=65536/request=last/encoding=adaptive_u32,median,0.95,9.403542995495277,9.417123884237828,9.454832384575115
open_type_registry_lookup/query_surface=registry_lookup/label_count=65536/request=missing/encoding=adaptive_u32,median,0.95,9.112033386591529,9.235414060577366,9.52804173376149
