benchmark_id,query_surface,label_count,request,request_shape,selectivity,degree,depth,csr_direction,encoding,csr_type_bytes_one_direction,latency_median_ns,latency_ci_lower_ns,latency_ci_upper_ns,throughput_per_second
open_type_filter_resolution/query_surface=filter_resolution/label_count=65535/request_shape=one_exact/encoding=adaptive_u32,filter_resolution,65535,,one_exact,,,,,adaptive_u32,,59.748875512636886,59.33558789173934,60.400583504274366,16736716.656508457
open_type_filter_resolution/query_surface=filter_resolution/label_count=65536/request_shape=bounded_4096/encoding=adaptive_u32,filter_resolution,65536,,bounded_4096,,,,,adaptive_u32,,115942.11414634145,114800.84516260162,116387.44918699187,8624.993664836971
open_type_filter_resolution/query_surface=filter_resolution/label_count=65536/request_shape=empty/encoding=adaptive_u32,filter_resolution,65536,,empty,,,,,adaptive_u32,,5.338165167657739,5.323560262620534,5.3577690983454875,187330284.58142975
open_type_filter_resolution/query_surface=filter_resolution/label_count=65536/request_shape=one_exact/encoding=adaptive_u32,filter_resolution,65536,,one_exact,,,,,adaptive_u32,,57.99049089500638,57.31879167014685,58.267649084688216,17244206.49948509
open_type_registry_lookup/query_surface=registry_lookup/label_count=254/request=first/encoding=adaptive_u8,registry_lookup,254,first,,,,,,adaptive_u8,,8.080654612584286,8.059664780573222,8.099539677774022,123752350.2666065
open_type_registry_lookup/query_surface=registry_lookup/label_count=254/request=last/encoding=adaptive_u8,registry_lookup,254,last,,,,,,adaptive_u8,,8.216102140776941,8.188682149684528,8.228990498092124,121712216.19032072
open_type_registry_lookup/query_surface=registry_lookup/label_count=254/request=missing/encoding=adaptive_u8,registry_lookup,254,missing,,,,,,adaptive_u8,,8.962743981773642,8.940288834298547,8.992177359101962,111572973.8608588
open_type_registry_lookup/query_surface=registry_lookup/label_count=255/request=first/encoding=adaptive_u16,registry_lookup,255,first,,,,,,adaptive_u16,,8.064354875063286,8.040207946273288,8.089376924492502,124002479.49060555
open_type_registry_lookup/query_surface=registry_lookup/label_count=255/request=last/encoding=adaptive_u16,registry_lookup,255,last,,,,,,adaptive_u16,,8.21827666202421,8.184461066660507,8.235355802810517,121680011.65267345
open_type_registry_lookup/query_surface=registry_lookup/label_count=255/request=missing/encoding=adaptive_u16,registry_lookup,255,missing,,,,,,adaptive_u16,,8.949057681846767,8.934544496055107,8.972774535866542,111743608.71854785
open_type_registry_lookup/query_surface=registry_lookup/label_count=65534/request=first/encoding=adaptive_u16,registry_lookup,65534,first,,,,,,adaptive_u16,,8.111143134490124,8.083089843059852,8.145952957963445,123287184.48424485
open_type_registry_lookup/query_surface=registry_lookup/label_count=65534/request=last/encoding=adaptive_u16,registry_lookup,65534,last,,,,,,adaptive_u16,,9.175067971231059,9.133994589779132,9.196332168783082,108991018.17398587
open_type_registry_lookup/query_surface=registry_lookup/label_count=65534/request=missing/encoding=adaptive_u16,registry_lookup,65534,missing,,,,,,adaptive_u16,,8.984996682112104,8.960088486179647,9.058647936558568,111296646.55200851
open_type_registry_lookup/query_surface=registry_lookup/label_count=65535/request=first/encoding=adaptive_u32,registry_lookup,65535,first,,,,,,adaptive_u32,,8.092857076981296,8.066981116500969,8.104848679225967,123565755.63954088
open_type_registry_lookup/query_surface=registry_lookup/label_count=65535/request=last/encoding=adaptive_u32,registry_lookup,65535,last,,,,,,adaptive_u32,,9.221335049096517,9.194457883884766,9.261489899146937,108444167.21394128
open_type_registry_lookup/query_surface=registry_lookup/label_count=65535/request=missing/encoding=adaptive_u32,registry_lookup,65535,missing,,,,,,adaptive_u32,,9.210873095276021,9.177223263655103,9.236687896821355,108567340.9736662
open_type_registry_lookup/query_surface=registry_lookup/label_count=65536/request=first/encoding=adaptive_u32,registry_lookup,65536,first,,,,,,adaptive_u32,,8.080993633779883,8.049068641400723,8.108316878898119,123747158.4954399
open_type_registry_lookup/query_surface=registry_lookup/label_count=65536/request=last/encoding=adaptive_u32,registry_lookup,65536,last,,,,,,adaptive_u32,,9.21373636816395,9.172597442935697,9.239418973984527,108533602.44333462
open_type_registry_lookup/query_surface=registry_lookup/label_count=65536/request=missing/encoding=adaptive_u32,registry_lookup,65536,missing,,,,,,adaptive_u32,,8.984372033922257,8.949551023767906,9.023980298816195,111304384.57182138
