query_surface,label_count,sample_index,elapsed_ns,result_digest
gql,254,39,14867000,c81e728d9d4c2f636f067f89cc14862c
gql,254,40,14993000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,1,15106000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,2,15567000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,3,15573000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,4,15343000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,5,15066000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,6,15818000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,7,15133000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,8,14785000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,9,14601000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,10,14558000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,11,14627000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,12,14510000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,13,14424000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,14,14480000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,15,14804000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,16,14841000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,17,14902000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,18,14699000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,19,15810000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,20,15738000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,21,15211000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,22,15977000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,23,15471000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,24,14957000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,25,15079000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,26,15121000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,27,14841000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,28,14529000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,29,14351000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,30,14458000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,31,14967000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,32,14886000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,33,14956000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,34,15362000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,35,15083000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,36,15570000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,37,16450000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,38,15167000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,39,15707000,c81e728d9d4c2f636f067f89cc14862c
cypher,254,40,15161000,c81e728d9d4c2f636f067f89cc14862c
traverse,65536,1,12858000,11290583525d343f7230e2931507eec8
traverse,65536,2,12873000,11290583525d343f7230e2931507eec8
traverse,65536,3,13252000,11290583525d343f7230e2931507eec8
traverse,65536,4,13881000,11290583525d343f7230e2931507eec8
traverse,65536,5,14312000,11290583525d343f7230e2931507eec8
traverse,65536,6,14041000,11290583525d343f7230e2931507eec8
traverse,65536,7,13437000,11290583525d343f7230e2931507eec8
traverse,65536,8,13331000,11290583525d343f7230e2931507eec8
traverse,65536,9,13363000,11290583525d343f7230e2931507eec8
traverse,65536,10,12910000,11290583525d343f7230e2931507eec8
traverse,65536,11,12793000,11290583525d343f7230e2931507eec8
traverse,65536,12,12814000,11290583525d343f7230e2931507eec8
traverse,65536,13,12776000,11290583525d343f7230e2931507eec8
traverse,65536,14,12975000,11290583525d343f7230e2931507eec8
traverse,65536,15,12880000,11290583525d343f7230e2931507eec8
traverse,65536,16,12916000,11290583525d343f7230e2931507eec8
traverse,65536,17,13138000,11290583525d343f7230e2931507eec8
traverse,65536,18,12958000,11290583525d343f7230e2931507eec8
traverse,65536,19,12715000,11290583525d343f7230e2931507eec8
traverse,65536,20,12876000,11290583525d343f7230e2931507eec8
traverse,65536,21,12667000,11290583525d343f7230e2931507eec8
traverse,65536,22,12846000,11290583525d343f7230e2931507eec8
traverse,65536,23,12799000,11290583525d343f7230e2931507eec8
traverse,65536,24,13258000,11290583525d343f7230e2931507eec8
traverse,65536,25,13450000,11290583525d343f7230e2931507eec8
traverse,65536,26,14085000,11290583525d343f7230e2931507eec8
traverse,65536,27,13967000,11290583525d343f7230e2931507eec8
traverse,65536,28,13370000,11290583525d343f7230e2931507eec8
traverse,65536,29,13654000,11290583525d343f7230e2931507eec8
traverse,65536,30,13451000,11290583525d343f7230e2931507eec8
traverse,65536,31,13251000,11290583525d343f7230e2931507eec8
traverse,65536,32,13040000,11290583525d343f7230e2931507eec8
traverse,65536,33,13150000,11290583525d343f7230e2931507eec8
traverse,65536,34,12825000,11290583525d343f7230e2931507eec8
traverse,65536,35,13027000,11290583525d343f7230e2931507eec8
traverse,65536,36,13062000,11290583525d343f7230e2931507eec8
traverse,65536,37,12965000,11290583525d343f7230e2931507eec8
traverse,65536,38,13103000,11290583525d343f7230e2931507eec8
traverse,65536,39,12854000,11290583525d343f7230e2931507eec8
traverse,65536,40,12810000,11290583525d343f7230e2931507eec8
shortest_path,65536,1,3379000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,2,3438000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,3,3407000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,4,3365000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,5,3425000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,6,3375000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,7,3390000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,8,3598000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,9,3446000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,10,3368000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,11,3364000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,12,3405000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,13,3358000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,14,3335000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,15,3377000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,16,3393000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,17,3342000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,18,3359000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,19,3322000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,20,3311000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,21,3381000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,22,3321000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,23,3344000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,24,3324000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,25,3337000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,26,3354000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,27,3483000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,28,3771000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,29,3807000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,30,3993000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,31,3787000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,32,3818000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,33,3925000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,34,3622000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,35,4035000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,36,3570000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,37,3654000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,38,3442000,598bc6e7cecc93ca052bc155b2a13c9b
shortest_path,65536,39,3464000,598bc6e7cecc93ca052bc155b2a13c9b
